Date-Time,Algorithm,Goal found,Total time(s),Time elapsed(s),Memory usage(MB),Peak Memory usage(MB)
02:39PM on January 11, 2023,UCS,True,23.96,0.10751581192016602,0.020224,0.109656
02:41PM on January 11, 2023,UCS,True,24.213,0.08800458908081055,0.020224,0.109656
02:49PM on January 11, 2023,UCS,True,24.466,0.08800077438354492,0.020224,0.109656
02:50PM on January 11, 2023,UCS,True,23.603,0.08301591873168945,0.013944,0.10384
02:50PM on January 11, 2023,UCS,True,23.508,0.08500981330871582,0.012488,0.102384
04:10PM on January 11, 2023,UCS,True,20.732,5.222018480300903,0.093168,1.304212
04:14PM on January 11, 2023,UCS,True,17.358,5.41569185256958,0.093488,1.33758
04:15PM on January 11, 2023,UCS,True,9.35,0.46200013160705566,0.031504,0.28658
04:17PM on January 11, 2023,UCS,True,27.74,0.2400045394897461,0.023328,0.15776
04:25PM on January 11, 2023,UCS,True,26.411,0.08951354026794434,0.020224,0.109656
04:25PM on January 11, 2023,UCS,True,26.364,0.18654847145080566,0.023328,0.155368
02:52PM on January 12, 2023,UCS,True,23.187,0.10399699211120605,0.021376,0.1078
02:55PM on January 12, 2023,UCS,True,23.763,0.08900213241577148,0.020224,0.109656
03:00PM on January 12, 2023,USC Graph,True,23.236,0.13197708129882812,0.020232,0.109664
03:01PM on January 12, 2023,USC Tree,True,22.981,0.10899996757507324,0.021384,0.106988
